id,did,vid,address,care,driver,number,phone,status,time,urgent
737fd326-baa1-4b77-ac01-2a39b59610af,driver_007,vehicle_7,郑州市金水区,3,赵强,23,13571574657,2,2020-01-01 17:58:00,0
ebffb79f-63db-4eff-8caf-976456bbc763,driver_012,vehicle_12,西安市雁塔区,1,孙勇,26,13426882089,2,2020-01-01 21:59:00,0
4e1b3fdb-f659-40ca-8dc7-b16b66605ad9,driver_010,vehicle_10,西安市雁塔区,1,吴建,95,13180510004,2,2020-01-01 18:03:00,0
1c1cda4e-68b0-44f3-9f15-426c9231b68e,driver_008,vehicle_8,上海市浦东新区,2,黄磊,10,13312047525,2,2020-01-02 07:46:00,0
7ad2f0c9-6ab2-49c9-8db4-5ff9f9deb33b,driver_017,vehicle_17,长沙市岳麓区,1,何杰,96,13965814370,2,2020-01-02 06:20:00,0
3b748a49-f62f-4dea-9f72-c61596077785,driver_012,vehicle_12,广州市天河区,3,孙勇,76,13426882089,2,2020-01-02 06:36:00,1
e963dc6f-e8cf-4855-8fe0-0559ea9c836b,driver_013,vehicle_13,天津市河西区,2,胡涛,37,13139471381,2,2020-01-03 18:29:00,0
54cc843d-374c-45af-aa13-6c712b0ed08f,driver_018,vehicle_18,深圳市南山区,1,郭飞,18,13386489006,2,2020-01-03 05:51:00,1
7ec10b52-5e11-4a0d-b1ba-ba7d4a9a0d2c,driver_009,vehicle_9,武汉市武昌区,1,周东,96,13574208209,2,2020-01-03 02:22:00,0
9b54b3af-8b6f-4dfb-8f45-4f7b3d5e4eff,driver_017,vehicle_17,成都市高新区,2,何杰,1,13965814370,2,2020-01-04 07:48:00,0
47c281c9-5939-42d7-bc48-d1977d0acade,driver_017,vehicle_17,西安市雁塔区,1,何杰,89,13965814370,2,2020-01-04 23:00:00,0
0f309a71-211a-4c9f-836c-1445198dcc30,driver_015,vehicle_15,武汉市武昌区,1,高浩,64,13497744193,2,2020-01-04 06:05:00,0
9c84ba43-aa16-4c6c-8f17-f829903b5336,driver_004,vehicle_4,无锡市梁溪区,3,刘六,72,13580754881,2,2020-01-05 11:52:00,0
01e9c2ee-2391-40a3-a8c5-5f9b0eaadc0b,driver_006,vehicle_6,无锡市梁溪区,1,杨飞,39,13982030576,2,2020-01-05 09:01:00,0
2ffb28f5-35e5-4ab9-be44-f6476b430d6d,driver_013,vehicle_13,杭州市滨江区,1,胡涛,44,13139471381,2,2020-01-05 01:47:00,1
59f9f62c-bed1-4792-a7f7-6557a439b223,driver_016,vehicle_16,深圳市南山区,1,林宇,87,13543241375,2,2020-01-06 07:09:00,1
68daea7c-32a0-4767-aca2-458d0cabe6b3,driver_006,vehicle_6,上海市浦东新区,2,杨飞,70,13982030576,2,2020-01-06 06:15:00,0
1e2116bd-c8d9-45fd-90d5-bfc1d9a781ed,driver_013,vehicle_13,广州市天河区,3,胡涛,5,13139471381,2,2020-01-06 10:38:00,1
11de2958-fdf6-4b31-a559-97b443282115,driver_017,vehicle_17,杭州市滨江区,1,何杰,69,13965814370,2,2020-01-07 13:34:00,1
3fdd812f-134c-4ded-b914-01c0caaefed6,driver_005,vehicle_5,天津市河西区,2,陈杰,67,13756400785,2,2020-01-07 06:23:00,0
7ae3bece-6da4-45cf-a59a-6afad3970c68,driver_006,vehicle_6,上海市浦东新区,2,杨飞,57,13982030576,2,2020-01-07 09:11:00,0
aa05abc8-d1bf-4c98-9680-04bd4f2855cb,driver_008,vehicle_8,苏州市工业园区,3,黄磊,65,13312047525,2,2020-01-08 10:20:00,1
7dfdab01-f60b-4e9e-8252-6c1f6a8433ae,driver_011,vehicle_11,青岛市市南区,3,徐辉,50,13469043711,2,2020-01-08 14:21:00,0
36c7dac3-e38b-4489-b643-0fc02801dc06,driver_013,vehicle_13,长沙市岳麓区,1,胡涛,86,13139471381,2,2020-01-08 13:31:00,0
ffb0723e-9e4b-43e3-a05f-06649da0f74b,driver_002,vehicle_2,合肥市蜀山区,1,李四,94,13235766393,2,2020-01-09 14:23:00,1
